Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2022-08-09,0.1160310835,0.0664203821,0.0705395558,21,100
Market-Adjusted Model,10028,2022-08-09,0.0933147774,0.0608972213,0.0478232497,21,100
Market-Adjusted Model,10032,2022-08-09,0.1074711644,0.0590751592,0.0619796368,21,100
Market-Adjusted Model,10044,2022-08-09,0.0102190048,-0.031282757,-0.035272523,21,100
Market-Adjusted Model,10051,2022-08-09,0.0037817226,-0.042248874,-0.041709805,21,100
Market-Adjusted Model,10065,2022-08-09,0.0460979789,0.0001073189,0.0006064512,21,100
Market-Adjusted Model,10066,2022-08-09,0.0137456929,-0.024966451,-0.031745835,21,100
Market-Adjusted Model,10104,2022-08-09,0.0207053575,-0.023971942,-0.02478617,21,100
Market-Adjusted Model,10107,2022-08-09,0.0703100437,0.0264655709,0.0248185161,21,100
Market-Adjusted Model,10113,2022-08-09,0.0405871342,-0.005445035,-0.004904393,21,100
Market-Adjusted Model,10138,2022-08-09,0.0350993345,-0.007172449,-0.010392193,21,100
Market-Adjusted Model,10145,2022-08-09,0.0952514029,0.0464698543,0.0497598753,21,100
Market-Adjusted Model,10158,2022-08-09,0.3597849431,0.2862954194,0.3142934154,21,100
Market-Adjusted Model,10200,2022-08-09,0.1367026253,0.0943025146,0.0912110976,21,100
Market-Adjusted Model,10207,2022-08-09,0.0292249672,-0.015375911,-0.01626656,21,100
Market-Adjusted Model,10220,2022-08-09,-0.02830837,-0.073671294,-0.073799898,21,100
Market-Adjusted Model,10252,2022-08-09,-0.023909144,-0.069056226,-0.069400672,21,100
Market-Adjusted Model,10253,2022-08-09,-0.036608869,-0.075938042,-0.082100396,21,100
Market-Adjusted Model,10257,2022-08-09,0.0148809559,-0.023298285,-0.030610572,21,100
Market-Adjusted Model,10258,2022-08-09,0.1388315738,0.1070631389,0.0933400462,21,100
Market-Adjusted Model,10294,2022-08-09,0.1336083979,0.0855363,0.0881168702,21,100
Market-Adjusted Model,10308,2022-08-09,0.0126799028,-0.031848937,-0.032811625,21,100
Market-Adjusted Model,10318,2022-08-09,0.0148909277,-0.027500969,-0.0306006,21,100
Market-Adjusted Model,10333,2022-08-09,-0.201495813,-0.257826941,-0.246987341,21,100
Market-Adjusted Model,10355,2022-08-09,-0.062490852,-0.105314559,-0.10798238,21,100
Market-Adjusted Model,10382,2022-08-09,-0.103167614,-0.137295653,-0.148659142,21,100
Market-Adjusted Model,10397,2022-08-09,0.03452463,-0.007335375,-0.010966898,21,100
Market-Adjusted Model,10421,2022-08-09,-0.019770132,-0.0548035,-0.065261659,21,100
Market-Adjusted Model,10443,2022-08-09,-0.036199093,-0.081754814,-0.081690621,21,100
Market-Adjusted Model,10463,2022-08-09,0.5220126006,0.3981115861,0.4765210729,21,100
Market-Adjusted Model,10501,2022-08-09,0.0225376016,-0.018069805,-0.022953926,21,100
Market-Adjusted Model,10514,2022-08-09,-0.072131191,0.4954742026,-0.117622719,21,100
Market-Adjusted Model,10516,2022-08-09,0.1697539203,0.1140221123,0.1242623927,21,100
Market-Adjusted Model,10517,2022-08-09,0.1353932509,0.0948816096,0.0899017233,21,100
Market-Adjusted Model,10530,2022-08-09,0.0046012742,-0.040323398,-0.040890253,21,100
Market-Adjusted Model,10547,2022-08-09,0.60827124,0.4530762772,0.5627797123,21,100
Market-Adjusted Model,10550,2022-08-09,0.0767326574,0.0307890848,0.0312411298,21,100
Market-Adjusted Model,10606,2022-08-09,0.142141726,0.091815813,0.0966501983,21,100
Market-Adjusted Model,10629,2022-08-09,0.0534351238,0.0072691849,0.0079435961,21,100
Market-Adjusted Model,10645,2022-08-09,-0.036750525,-0.081363405,-0.082242053,21,100
Market-Adjusted Model,10649,2022-08-09,0.0886363517,0.0474875719,0.043144824,21,100
Market-Adjusted Model,10661,2022-08-09,-0.076648897,-0.103381144,-0.122140425,21,100
Market-Adjusted Model,10693,2022-08-09,0.0197421352,-0.02405317,-0.025749392,21,100
Market-Adjusted Model,10696,2022-08-09,0.0811830553,0.0344166021,0.0356915276,21,100
Market-Adjusted Model,10777,2022-08-09,0.1455039671,0.0922217327,0.1000124395,21,100
Market-Adjusted Model,10779,2022-08-09,0.0504201093,0.029542944,0.0049285816,21,100
Market-Adjusted Model,10781,2022-08-09,-0.044845685,-0.08774001,-0.090337213,21,100
Market-Adjusted Model,10812,2022-08-09,0.0941734002,0.0469256169,0.0486818725,21,100
Market-Adjusted Model,10860,2022-08-09,0.3796610701,0.3260430196,0.3341695424,21,100
Market-Adjusted Model,10866,2022-08-09,0.1078468429,0.069586286,0.0623553152,21,100
Market-Adjusted Model,10874,2022-08-09,0.0596946668,0.0171767312,0.0142031391,21,100
Market-Adjusted Model,10886,2022-08-09,-0.272727254,-0.326293824,-0.318218782,21,100
Market-Adjusted Model,10890,2022-08-09,-0.295019186,-0.373798623,-0.340510714,21,100
Market-Adjusted Model,10892,2022-08-09,0.1559048051,0.1014638112,0.1104132775,21,100
Market-Adjusted Model,10901,2022-08-09,0.1072927879,0.0660848995,0.0618012602,21,100
Market-Adjusted Model,10932,2022-08-09,0.0586851931,0.0136481496,0.0131936654,21,100
Market-Adjusted Model,10933,2022-08-09,-0.051762125,-0.096219234,-0.097253653,21,100
Market-Adjusted Model,10952,2022-08-09,0.0017270887,-0.045348414,-0.044831929,20,100
Market-Adjusted Model,10966,2022-08-09,0.0561554455,0.0245589206,0.0106639178,21,100
Market-Adjusted Model,11006,2022-08-09,0.0688124178,0.0226252633,0.0233208901,21,100
Market-Adjusted Model,11018,2022-08-09,0.0202565322,-0.022955969,-0.025234995,21,100
Market-Adjusted Model,11043,2022-08-09,0.0940031983,0.0451451898,0.0485116706,21,100
Market-Adjusted Model,11144,2022-08-09,-0.018331798,-0.020396467,-0.063823326,21,100
Market-Adjusted Model,11153,2022-08-09,-0.079984646,-0.11268241,-0.125476173,21,100
Market-Adjusted Model,11154,2022-08-09,0.0683799695,0.0333940426,0.0228884418,21,100
Market-Adjusted Model,11174,2022-08-09,-0.203940193,-0.226424241,-0.249431721,21,100
Market-Adjusted Model,11203,2022-08-09,-0.393613819,-0.510509221,-0.439105346,21,100
Market-Adjusted Model,11208,2022-08-09,0.0482196321,0.0031592034,0.0027281044,21,100
Market-Adjusted Model,11264,2022-08-09,0.1594828147,0.1612453899,0.113991287,21,100
Market-Adjusted Model,11267,2022-08-09,-0.089009261,-0.131366873,-0.134500789,21,100
Market-Adjusted Model,11275,2022-08-09,0.0122448813,-0.022778826,-0.033246646,21,100
Market-Adjusted Model,11285,2022-08-09,0.0178277973,-0.025546143,-0.02766373,21,100
Market-Adjusted Model,11292,2022-08-09,-0.061931333,-0.104822426,-0.10742286,21,100
Market-Adjusted Model,11293,2022-08-09,0.0528554638,0.006593033,0.0073639362,21,100
Market-Adjusted Model,11308,2022-08-09,0.0334458603,-0.012448698,-0.012045667,21,100
Market-Adjusted Model,11368,2022-08-09,0.1285245308,0.0873772386,0.0830330031,21,100
Market-Adjusted Model,11369,2022-08-09,0.0503792184,0.0045874031,0.0048876907,21,100
Market-Adjusted Model,11370,2022-08-09,0.0019784296,-0.039507739,-0.043513098,21,100
Market-Adjusted Model,11379,2022-08-09,0.0164706267,-0.020319336,-0.029020901,21,100
Market-Adjusted Model,11394,2022-08-09,0.1476190649,0.1544352647,0.1021275373,21,100
Market-Adjusted Model,11397,2022-08-09,0.0652865967,0.0194427114,0.019795069,21,100
Market-Adjusted Model,11403,2022-08-09,0.0929857765,0.0454652591,0.0474942488,21,100
Market-Adjusted Model,11404,2022-08-09,0.0579238393,0.0111407486,0.0124323116,21,100
Market-Adjusted Model,11407,2022-08-09,0.0880779006,0.0406916688,0.0425863729,21,100
Market-Adjusted Model,11442,2022-08-09,0.0217826254,-0.023601264,-0.023708902,21,100
Market-Adjusted Model,11481,2022-08-09,0.1030588412,0.0840055629,0.0575673135,21,100
Market-Adjusted Model,11499,2022-08-09,0.3597883314,0.2744168776,0.3142968037,21,100
Market-Adjusted Model,11511,2022-08-09,-0.021798407,-0.051095883,-0.067289935,21,100
Market-Adjusted Model,11533,2022-08-09,0.0136895761,-0.025144777,-0.031801952,21,100
Market-Adjusted Model,11547,2022-08-09,-0.094082101,-0.139565907,-0.139573629,21,100
Market-Adjusted Model,11565,2022-08-09,0.0744565679,0.0271215903,0.0289650402,21,100
Market-Adjusted Model,11581,2022-08-09,0.0696137677,0.0236611492,0.0241222401,21,100
Market-Adjusted Model,11587,2022-08-09,-0.021962507,-0.064221742,-0.067454035,21,100
Market-Adjusted Model,11593,2022-08-09,0.0052219282,-0.040375779,-0.040269599,21,100
Market-Adjusted Model,11600,2022-08-09,-0.040559461,-0.084802223,-0.086050988,21,100
Market-Adjusted Model,11618,2022-08-09,0.1000623069,0.0517912902,0.0545707792,21,100
Market-Adjusted Model,11628,2022-08-09,0.0039079526,-0.040540437,-0.041583575,21,100
Market-Adjusted Model,11636,2022-08-09,0.7518795908,0.558810887,0.7063880631,21,100
Market-Adjusted Model,11644,2022-08-09,0.2723004332,0.2140639667,0.2268089055,21,100
Market-Adjusted Model,11654,2022-08-09,0.1302644363,0.0809721272,0.0847729087,21,100
Market-Adjusted Model,11664,2022-08-09,-0.207654402,-0.264511633,-0.25314593,21,100
Market-Adjusted Model,11674,2022-08-09,0.0718117121,0.0241207464,0.0263201844,21,100
Market-Adjusted Model,11691,2022-08-09,-0.058780914,-0.097893185,-0.104272441,21,100
Market-Adjusted Model,11701,2022-08-09,0.0825707641,0.0347203226,0.0370792364,21,100
Market-Adjusted Model,11731,2022-08-09,0.1210315655,0.0716039522,0.0755400378,21,100
Market-Adjusted Model,11748,2022-08-09,-0.069768047,-0.079128146,-0.115259575,21,100
Market-Adjusted Model,11752,2022-08-09,0.087993741,0.043032307,0.0425022133,21,100
Market-Adjusted Model,11762,2022-08-09,0.0729611444,0.0264332195,0.0274696167,21,100
Market-Adjusted Model,11775,2022-08-09,0.0216802546,-0.018948254,-0.023811273,21,100
